mot,definition,categorie_grammaticale,valide_scrabble,source
CHAT,"Mammifère domestique félin de la famille des félidés",nom,true,ODS
CHATS,"Pluriel de chat",nom,true,ODS
CHIEN,"Mammifère domestique canin de la famille des canidés",nom,true,ODS
CHIENS,"Pluriel de chien",nom,true,ODS
MAISON,"Bâtiment d'habitation",nom,true,ODS
MAISONS,"Pluriel de maison",nom,true,ODS
JOUER,"Pratiquer un jeu ou s'amuser",verbe,true,ODS
JOUE,"Troisième personne du singulier du verbe jouer",verbe,true,ODS
JOUES,"Deuxième personne du singulier du verbe jouer",verbe,true,ODS
JEUX,"Pluriel de jeu",nom,true,ODS
JEU,"Activité ludique ou de divertissement",nom,true,ODS
SCRABBLE,"Jeu de lettres où l'on forme des mots sur un plateau",nom,true,ODS
LETTRE,"Caractère de l'alphabet",nom,true,ODS
LETTRES,"Pluriel de lettre",nom,true,ODS
MOT,"Unité linguistique composée de sons",nom,true,ODS
MOTS,"Pluriel de mot",nom,true,ODS
PLATEAU,"Surface plane horizontale",nom,true,ODS
PLATEAUX,"Pluriel de plateau",nom,true,ODS
POINT,"Marque ronde de petite dimension",nom,true,ODS
POINTS,"Pluriel de point",nom,true,ODS
SCORE,"Total des points obtenus",nom,true,ODS
SCORES,"Pluriel de score",nom,true,ODS
DICTIONNAIRE,"Recueil de mots d'une langue",nom,true,ODS
DICTIONNAIRES,"Pluriel de dictionnaire",nom,true,ODS
FRANCAIS,"Relatif à la France",adjectif,true,ODS
LANGUE,"Système de communication verbale",nom,true,ODS
LANGUES,"Pluriel de langue",nom,true,ODS
VALIDE,"Qui est conforme aux règles",adjectif,true,ODS
VALIDES,"Pluriel de valide",adjectif,true,ODS
BASE,"Fondement ou support",nom,true,ODS
BASES,"Pluriel de base",nom,true,ODS
DONNEE,"Information ou élément factuel",nom,true,ODS
DONNEES,"Pluriel de donnée",nom,true,ODS
RECHERCHE,"Action de chercher avec méthode",nom,true,ODS
RECHERCHES,"Pluriel de recherche",nom,true,ODS
